買取価格,,,,03/07,03/06,03/05,03/04,03/03,03/02,03/01,02/28,02/27,02/26,02/25,02/24,02/23,02/22,02/21,02/20,02/19,02/18,02/17,02/16,02/15,02/14,02/13,02/12,02/11,02/10,02/09,02/08,02/07,02/06,02/05,02/04,02/03,02/02,02/01,01/31,01/30,01/29,01/28,01/27,01/26,01/25,01/24,01/23,01/22,01/21,01/20,01/19,01/18,01/17,01/16,01/15,01/14,01/13,01/12,01/11,01/10,01/09,01/08,01/07,01/06,01/05,01/04,01/03,01/02,01/01,12/31,12/30,12/29,12/28,12/27,12/26,12/25,12/24,12/23,12/22,12/21,12/20,12/19,12/18,12/17,12/16,12/15,12/14,12/13,12/12,12/11,12/10,12/09,12/08,12/07,12/06,12/05,12/04,12/03,12/02,12/01,11/30,11/29,11/28,11/27,11/26,11/25,11/24,11/23,11/22,11/21,11/20,11/19,11/18,11/17,11/16,11/15,11/14,11/13,11/12,11/11,11/10,11/09,11/08,11/07,11/06,11/05,11/04,11/03,11/02,11/01,10/31,10/30,10/29,10/28,10/27,10/26,10/25,10/24,10/23,10/22,10/21,10/20,10/19,10/18,10/17,10/16,10/15,10/14,10/13,10/12,10/11,10/10,10/09,10/08,10/07,10/06,10/05,10/04,10/03,10/02,10/01,09/30,09/29,09/28,09/27,09/26,09/25,09/24,09/23,09/22,09/21,09/20,09/19,,最安値,最高値
機種名,容量,Apple定価,差額,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火,月（祝）,日,土,金,木,水,火,月,日,土,金,木,水,火,月,日,土,金,木,水,火（祝）,月,日,土,金,,,
17ProMax,256G,"  194,800 ","11,200","206,000","206,000","205,000","206,000","205,000","195,000","213,000","213,000","213,000","213,000","212,000","210,000","208,000","208,000","208,000","210,000","212,000","208,000","207,000","206,000","206,000","206,000","205,500","203,000","202,000","202,000","207,500","207,500","207,500","207,500","206,000","206,000","205,000","203,500","203,000","203,000","203,000","202,000","200,000","207,000","207,500","207,000","207,000","210,000","210,000","209,000","203,500","202,000","204,000","204,000","205,000","205,000","204,000","204,000","204,000","203,000","203,000","205,500","204,000","201,000","199,500","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","197,000","196,000","195,000","195,000","195,000","198,000","198,000","198,000","196,500","196,000","195,000","194,000","193,500","193,000","193,000","193,500","193,500","193,500","193,000","193,000","192,500","192,500","192,000","192,000","192,000","191,500","191,000","191,000","192,000","192,000","192,000","192,500","192,500","194,000","195,500","195,500","195,000","193,500","195,000","195,500","195,500","195,500","195,500","195,000","196,000","195,000","196,000","196,000","198,000","198,000","198,000","198,000","198,000","198,000","198,000","198,000","198,000","197,000","195,000","194,000","197,000","198,000","205,000","205,000","205,000","205,000","207,700","207,000","206,000","211,000","215,000","213,500","215,000","213,000","212,000","212,000","212,000","219,500","219,500","216,000","215,000","213,200","213,200","222,000","230,500","229,000","217,000","214,000","208,000","208,000","208,000",,"191,000","230,500"
,512G,"  229,800 ","5,200","235,000","234,000","234,000","236,000","233,000","229,000","243,000","243,000","243,000","243,000","241,000","240,000","238,000","238,000","238,000","238,000","240,000","238,000","233,500","232,000","232,000","231,500","231,000","228,500","229,500","229,500","229,500","229,500","229,500","229,500","225,000","227,000","227,000","226,000","225,000","225,000","225,000","223,000","223,000","228,000","228,000","228,000","228,000","232,000","231,000","231,000","231,000","231,000","232,000","232,000","233,000","233,000","233,000","232,500","232,500","232,500","232,500","236,500","235,000","233,500","232,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","229,000","229,000","229,000","229,000","230,000","230,000","230,000","229,000","228,500","228,500","228,500","228,500","228,000","228,000","228,000","228,000","228,000","227,500","227,500","227,000","227,000","227,000","227,000","226,200","226,200","226,000","227,500","227,500","227,000","226,000","226,000","227,000","226,000","227,000","227,000","226,000","226,000","226,000","226,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","230,000","228,000","230,500","230,500","230,500","230,500","230,500","230,500","230,500","230,000","230,000","229,000","229,000","232,000","232,000","235,500","235,500","235,500","235,000","236,700","236,000","236,000","240,000","244,500","244,000","243,000","241,000","240,000","240,000","240,000","246,000","246,000","243,000","240,000","241,000","241,000","250,000","263,200","261,000","248,000","248,000","243,000","243,000","243,000",,"223,000","263,200"
,1T,"  264,800 ",-800,"264,000","264,000","264,000","268,000","266,000","263,000","268,500","268,500","268,500","268,500","266,500","265,500","264,000","264,000","264,000","264,000","266,000","263,000","261,500","261,000","261,000","261,000","261,000","259,000","259,000","259,000","259,000","259,000","259,000","258,000","258,000","258,000","258,000","258,000","258,000","258,000","258,000","256,000","256,000","261,000","261,000","263,000","263,000","266,000","266,000","266,000","266,000","266,000","267,000","267,000","268,000","268,000","268,000","267,500","267,500","267,500","267,500","271,000","269,500","267,000","265,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","264,500","262,500","262,500","262,500","262,500","262,500","262,500","262,500","261,500","261,000","261,000","261,000","261,000","261,000","261,000","261,000","261,000","261,000","261,000","261,000","261,000","261,000","260,500","260,500","260,500","260,500","260,500","260,500","260,500","260,500","260,000","260,500","260,500","260,500","260,500","260,500","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","263,000","262,000","262,000","266,000","267,000","270,000","270,000","270,000","270,000","274,200","274,000","274,000","280,000","284,000","281,500","281,000","280,000","279,000","279,000","279,000","281,000","281,000","278,000","276,000","277,200","277,200","282,000","292,200","291,000","280,000","280,000","275,000","275,000","275,000",,"256,000","292,200"
,2T,"  329,800 ","-329,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"306,000","306,000","306,000","306,000","306,000","305,000","305,000","311,000","311,000","313,000","313,000","316,000","317,000","317,000","317,000","317,000","317,000","317,000","318,000","318,000","318,000","318,000","318,000","318,000","318,000","318,000","318,000","318,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","317,000","316,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","311,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","314,000","313,000","311,000","311,000","311,000","311,000","315,000","315,000","317,000","326,000","327,000","330,200","330,200","330,000","330,000","331,500","331,500","331,500","331,000","331,000","331,000","331,000","331,000","333,000","333,000","331,000","330,000","331,200","331,200","337,000","350,200","349,000","339,000","339,000","335,000","335,000","335,000",,"305,000","350,200"
17Pro,256G,"  179,800 ","8,200","188,000","188,000","187,000","186,500","186,500","180,000","192,000","192,000","192,000","192,000","190,000","188,000","188,000","188,000","188,000","188,000","190,000","187,500","185,000","185,000","184,500","184,500","183,000","182,000","185,000","185,000","187,000","187,000","187,000","187,000","185,000","185,000","184,500","183,000","183,000","183,000","183,000","181,000","180,000","183,500","183,500","182,500","182,500","185,500","183,500","182,500","181,000","181,000","183,000","184,000","185,000","185,000","185,000","184,500","183,000","183,000","183,000","184,500","182,500","181,500","179,500","176,000","176,000","176,000","176,000","176,000","176,000","176,000","176,000","176,000","176,000","176,000","176,000","176,000","176,000","175,000","175,000","175,000","176,000","177,000","176,500","176,500","176,500","176,500","177,000","179,500","180,500","180,000","179,500","179,000","179,000","178,500","178,000","178,000","178,000","178,000","178,000","177,500","177,500","177,500","177,500","177,500","177,500","177,500","177,000","177,000","177,000","177,000","176,000","176,000","176,000","176,000","176,000","176,000","177,000","176,000","176,000","176,000","177,000","178,000","177,500","177,500","177,000","177,000","177,000","177,000","177,000","177,000","177,000","177,000","177,000","176,500","175,000","175,000","176,000","177,000","178,000",0,0,"177,000","179,000","183,000","187,000","188,000","188,000","187,000","185,500","183,000","184,000","184,000","183,000","181,500","181,000","180,500","180,500","180,500","180,500","180,500","179,000","179,000","179,000","179,000","180,000","183,500","186,000","182,500","180,800","176,000","175,000","177,000",,0,"192,000"
,512G,"  214,800 ",-800,"214,000","214,000","214,000","217,000","216,000","213,000","219,000","219,000","219,000","219,000","217,000","216,000","214,500","214,500","214,500","214,000","216,000","212,000","211,000","210,000","210,000","210,000","209,500","208,000","209,000","209,000","209,000","209,000","209,000","209,000","207,000","207,000","207,000","206,000","206,000","206,000","206,000","206,000","206,000","209,000","209,000","210,000","210,000","212,000","212,000","212,000","213,000","213,000","213,000","213,000","214,000","214,000","214,000","213,500","213,500","213,500","213,500","216,000","216,000","214,000","213,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,000","211,500","211,500","211,500","211,500","211,500","211,500","211,500","212,000","214,000","214,000","213,500","213,500","213,500","213,500","212,000","211,000","211,000","210,500","210,500","210,500","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","211,000","210,000","210,000","210,000","211,000","211,000","211,000","211,000","213,000","213,000","213,000","212,000","213,000","213,000","213,000","213,000","213,000","212,000","212,000","211,000","214,000","214,000","214,000",0,0,"215,000","215,000","216,000","216,000","217,500","217,500","217,400","217,000","216,000","218,000","218,000","217,000","215,500","214,700","214,700","214,500","214,500","214,500","214,500","213,000","213,000","215,000","215,000","217,000","217,200","219,000","215,500","213,800","208,000","210,000","212,000",,0,"219,000"
,1T,"  249,800 ","-5,300","244,500","244,500","244,500","244,500","244,000","243,000","244,500","244,500","244,500","244,500","242,500","241,500","241,000","241,000","241,000","241,000","243,000","240,000","239,500","239,000","239,000","239,000","238,000","237,000","237,000","237,000","237,000","237,000","237,000","237,000","236,000","236,000","236,000","236,000","236,000","236,000","236,000","236,000","236,000","240,000","240,000","240,000","240,000","243,000","243,000","243,000","243,000","243,000","243,000","243,000","244,000","244,000","244,000","243,500","243,500","243,500","243,500","245,000","245,000","243,000","243,000","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,500","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","242,000","244,000","244,000","244,000","244,000","244,000","244,000","244,000","244,000","244,000","244,000","244,000","244,000","244,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","246,000","247,000","247,000",0,0,"247,000","247,000","249,000","249,000","249,200","249,200","249,200","248,000","248,000","250,000","250,000","249,000","246,500","245,700","245,700","245,500","245,000","247,500","247,500","246,000","246,000","246,200","246,200","251,500","251,200","253,000","249,500","245,000","242,000","244,000","247,000",,0,"253,000"
Air,256G,"  159,800 ","-25,800","134,000","134,000","134,000","134,000","134,000","132,000","134,000","134,000","134,000","134,000","134,000","134,000","134,000","134,000","134,000","134,000","134,000","134,000","134,000","133,000","134,000","134,000","134,000","134,000","136,000","136,000","136,000","135,000","135,000","139,000","140,000","142,000","148,000","148,000","148,000","148,000","148,000","148,000","148,000","151,000","151,000","151,000","151,000","153,000","153,000","152,000","152,000","152,000","152,000","152,000","152,000","152,000","152,000","152,000","152,000","152,000","152,000","152,000","152,000","152,000","151,000","149,000","148,000","148,000","148,000","148,000","148,000","148,000","148,000","148,000","148,000","148,000","148,000","148,000","148,000","148,000","148,000","148,000","147,000","147,000","147,000","147,000","147,000","147,000","147,000","147,000","147,000","145,000","145,000","144,000","144,000","144,000","143,000","143,000","143,000","145,000","145,000","145,000","149,000","149,000","149,000","149,000","149,000","148,000","147,000","147,000","147,000","147,000","146,000","146,000","143,000","145,000","145,000","143,000","143,000","142,000","142,000","142,000","140,000","140,000","136,000","136,000","134,000","134,000","132,000","132,000","132,000","131,000","131,000","131,000","129,000","127,000","127,000","127,000","127,000","126,000","126,000","124,000","124,000","124,000","124,000","123,000","128,000","129,000","128,000","131,000","133,000","134,000","137,000","139,000","139,000","139,000","139,000","140,000","141,000","143,000","149,000","151,000","151,000","151,000","153,000","153,000","155,000","163,200","165,200","162,400","161,500","156,000","156,000","158,000",,"123,000","165,200"
,512G,"  194,800 ","-45,800","149,000","149,000","144,000","144,000","144,000","144,000","150,000","150,000","150,000","150,000","150,000","150,000","150,000","150,000","150,000","150,000","150,000","150,000","149,000","149,000","150,000","150,000","153,000","153,000","153,000","153,000","153,000","153,000","153,000","153,000","153,000","153,000","160,000","160,000","160,000","160,000","160,000","160,000","165,000","167,000","167,000","167,000","167,000","167,000","167,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","165,000","163,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","162,000","160,000","160,000","159,000","159,000","158,000","158,000","158,000","161,000","161,000","161,000","161,000","163,000","163,000","163,000","163,000","163,000","162,000","161,000","160,000","160,000","160,000","160,000","159,000","159,000","159,000","159,000","158,000","157,000","157,000","157,000","157,000","155,000","155,000","153,000","153,000","153,000","150,000","150,000","150,000","150,000","146,000","146,000","146,000","144,000","143,000","139,000","139,000","139,000","139,000","139,000","139,000","139,000","140,000","140,000","153,000","158,000","158,000","158,000","161,000","162,000","162,000","169,000","169,000","169,000","169,000","169,000","177,000","177,000","177,000","183,000","186,000","186,000","188,000","188,000","188,000","192,000","195,200","196,200","193,100","192,200","188,000","190,000","194,000",,"139,000","196,200"
